,frame_count,channel,x,y,w,h,br_x,br_y,mean,max,min
257,129,1,385,356,10,36,395,392,9.346296296296297,174,0
258,130,1,385,356,10,36,395,392,9.77037037037037,146,0
259,130,1,385,356,10,36,395,392,9.77037037037037,146,0
260,131,1,385,356,10,36,395,392,8.312962962962963,128,0
261,131,1,385,356,10,36,395,392,8.312962962962963,128,0
262,132,1,385,356,10,36,395,392,14.59074074074074,255,0
263,132,1,385,356,10,36,395,392,14.59074074074074,255,0
264,133,1,385,356,10,36,395,392,13.414814814814815,207,0
265,133,1,385,356,10,36,395,392,13.414814814814815,207,0
266,134,1,385,356,10,36,395,392,8.9,51,0
267,134,1,385,356,10,36,395,392,8.9,51,0
268,135,1,385,356,10,36,395,392,4.946296296296296,28,0
269,135,1,385,356,10,36,395,392,4.946296296296296,28,0
270,136,1,385,356,10,36,395,392,2.1592592592592594,23,0
271,136,1,385,356,10,36,395,392,2.1592592592592594,23,0
272,137,1,385,356,10,36,395,392,6.137037037037037,24,0
273,137,1,385,356,10,36,395,392,6.137037037037037,24,0
274,138,1,385,356,10,36,395,392,9.60925925925926,213,0
275,138,1,385,356,10,36,395,392,9.60925925925926,213,0
276,139,1,385,356,10,36,395,392,14.627777777777778,246,0
277,139,1,385,356,10,36,395,392,14.627777777777778,246,0
278,140,1,385,356,10,36,395,392,7.042592592592593,55,0
279,140,1,385,356,10,36,395,392,7.042592592592593,55,0
280,141,1,385,356,10,36,395,392,13.422222222222222,159,0
281,141,1,385,356,10,36,395,392,13.422222222222222,159,0
282,142,1,385,356,10,36,395,392,21.974074074074075,180,0
283,142,1,385,356,10,36,395,392,21.974074074074075,180,0
284,143,1,385,356,10,36,395,392,13.516666666666667,54,0
285,143,1,385,356,10,36,395,392,13.516666666666667,54,0
286,144,1,385,356,10,36,395,392,3.577777777777778,22,0
287,144,1,385,356,10,36,395,392,3.577777777777778,22,0
288,145,1,385,356,10,36,395,392,4.925925925925926,54,0
289,145,1,385,356,10,36,395,392,4.925925925925926,54,0
290,146,1,385,356,10,36,395,392,10.612962962962962,245,0
291,146,1,385,356,10,36,395,392,10.612962962962962,245,0
292,147,1,385,356,10,36,395,392,10.155555555555555,198,0
293,147,1,385,356,10,36,395,392,10.155555555555555,198,0
294,148,1,385,356,10,36,395,392,8.922222222222222,195,0
295,148,1,385,356,10,36,395,392,8.922222222222222,195,0
296,149,1,385,356,10,36,395,392,8.916666666666666,185,0
297,149,1,385,356,10,36,395,392,8.916666666666666,185,0
298,150,1,385,356,10,36,395,392,6.940740740740741,63,0
299,150,1,385,356,10,36,395,392,6.940740740740741,63,0
300,151,1,385,356,10,36,395,392,3.9166666666666665,25,0
301,151,1,385,356,10,36,395,392,3.9166666666666665,25,0
302,152,1,385,356,10,36,395,392,11.02037037037037,200,0
303,152,1,385,356,10,36,395,392,11.02037037037037,200,0
304,153,1,385,356,10,36,395,392,13.16851851851852,255,0
305,153,1,385,356,10,36,395,392,13.16851851851852,255,0
306,154,1,385,356,10,36,395,392,1.1,12,0
307,154,1,385,356,10,36,395,392,1.1,12,0
308,155,1,385,356,10,36,395,392,10.311111111111112,191,0
309,155,1,385,356,10,36,395,392,10.311111111111112,191,0
310,156,1,385,356,10,36,395,392,14.857407407407408,255,0
311,156,1,385,356,10,36,395,392,14.857407407407408,255,0
312,157,1,385,356,10,36,395,392,12.764814814814814,191,0
313,157,1,385,356,10,36,395,392,12.764814814814814,191,0
314,158,1,385,356,10,36,395,392,14.798148148148147,182,0
315,158,1,385,356,10,36,395,392,14.798148148148147,182,0
316,159,1,385,356,10,36,395,392,7.148148148148148,81,0
317,159,1,385,356,10,36,395,392,7.148148148148148,81,0
318,160,1,385,356,10,36,395,392,9.1,73,0
319,160,1,385,356,10,36,395,392,9.1,73,0
320,161,1,385,356,10,36,395,392,7.529629629629629,42,0
321,161,1,385,356,10,36,395,392,7.529629629629629,42,0
322,162,1,385,356,10,36,395,392,8.166666666666666,34,0
323,162,1,385,356,10,36,395,392,8.166666666666666,34,0
324,163,1,385,356,10,36,395,392,5.0962962962962965,30,0
325,163,1,385,356,10,36,395,392,5.0962962962962965,30,0
326,164,1,385,356,10,36,395,392,4.737037037037037,32,0
327,164,1,385,356,10,36,395,392,4.737037037037037,32,0
328,165,1,385,356,10,36,395,392,4.04074074074074,25,0
329,165,1,385,356,10,36,395,392,4.04074074074074,25,0
330,166,1,385,356,10,36,395,392,1.2722222222222221,20,0
331,166,1,385,356,10,36,395,392,1.2722222222222221,20,0
332,167,1,385,356,10,36,395,392,3.964814814814815,22,0
333,167,1,385,356,10,36,395,392,3.964814814814815,22,0
334,168,1,385,356,10,36,395,392,10.6,187,0
335,168,1,385,356,10,36,395,392,10.6,187,0
336,169,1,385,356,10,36,395,392,11.992592592592592,202,0
337,169,1,385,356,10,36,395,392,11.992592592592592,202,0
338,170,1,385,356,10,36,395,392,15.105555555555556,214,0
339,170,1,385,356,10,36,395,392,15.105555555555556,214,0
340,171,1,385,356,10,36,395,392,13.573148148148148,243,0
341,171,1,385,356,10,36,395,392,13.573148148148148,243,0
342,172,1,385,356,10,36,395,392,3.5444444444444443,84,0
343,172,1,385,356,10,36,395,392,3.5444444444444443,84,0
344,173,1,385,356,10,36,395,392,6.642592592592592,156,0
345,173,1,385,356,10,36,395,392,6.642592592592592,156,0
346,174,1,385,356,10,36,395,392,9.61111111111111,172,0
347,174,1,385,356,10,36,395,392,9.61111111111111,172,0
348,175,1,385,356,10,36,395,392,5.231481481481482,38,0
349,175,1,385,356,10,36,395,392,5.231481481481482,38,0
350,176,1,385,356,10,36,395,392,5.481481481481482,36,0
351,176,1,385,356,10,36,395,392,5.481481481481482,36,0
352,177,1,385,356,10,36,395,392,5.446296296296296,29,0
353,177,1,385,356,10,36,395,392,5.446296296296296,29,0
354,178,1,385,356,10,36,395,392,11.059259259259258,185,0
355,178,1,385,356,10,36,395,392,11.059259259259258,185,0
356,179,1,385,356,10,36,395,392,11.151851851851852,153,0
357,179,1,385,356,10,36,395,392,11.151851851851852,153,0
358,180,1,385,356,10,36,395,392,7.058333333333334,50,0
359,180,1,385,356,10,36,395,392,7.058333333333334,50,0
360,181,1,385,356,10,36,395,392,4.4222222222222225,32,0
361,181,1,385,356,10,36,395,392,4.4222222222222225,32,0
362,182,1,385,356,10,36,395,392,3.7925925925925927,44,0
363,182,1,385,356,10,36,395,392,3.7925925925925927,44,0
364,183,1,385,356,10,36,395,392,2.3722222222222222,32,0
365,183,1,385,356,10,36,395,392,2.3722222222222222,32,0
366,184,1,385,356,10,36,395,392,1.1870370370370371,23,0
367,184,1,385,356,10,36,395,392,1.1870370370370371,23,0
368,185,1,385,356,10,36,395,392,4.55,61,0
369,185,1,385,356,10,36,395,392,4.55,61,0
370,186,1,385,356,10,36,395,392,3.6055555555555556,55,0
371,186,1,385,356,10,36,395,392,3.6055555555555556,55,0
372,187,1,385,356,10,36,395,392,4.957407407407407,41,0
373,187,1,385,356,10,36,395,392,4.957407407407407,41,0
374,188,1,385,356,10,36,395,392,5.472222222222222,55,0
375,188,1,385,356,10,36,395,392,5.472222222222222,55,0
376,189,1,385,356,10,36,395,392,5.6648148148148145,62,0
377,189,1,385,356,10,36,395,392,5.6648148148148145,62,0
378,190,1,385,356,10,36,395,392,5.568518518518519,45,0
379,190,1,385,356,10,36,395,392,5.568518518518519,45,0
380,191,1,385,356,10,36,395,392,4.92037037037037,25,0
381,191,1,385,356,10,36,395,392,4.92037037037037,25,0
382,192,1,385,356,10,36,395,392,2.672222222222222,20,0
383,192,1,385,356,10,36,395,392,2.672222222222222,20,0
384,193,1,385,356,10,36,395,392,3.3648148148148147,22,0
385,193,1,385,356,10,36,395,392,3.3648148148148147,22,0
386,194,1,385,356,10,36,395,392,1.9462962962962962,21,0
387,194,1,385,356,10,36,395,392,1.9462962962962962,21,0
388,195,1,385,356,10,36,395,392,0.5333333333333333,13,0
389,195,1,385,356,10,36,395,392,0.5333333333333333,13,0
390,196,1,385,356,10,36,395,392,1.0611111111111111,24,0
391,196,1,385,356,10,36,395,392,1.0611111111111111,24,0
392,197,1,385,356,10,36,395,392,0.0,0,0
393,197,1,385,356,10,36,395,392,0.0,0,0
394,198,1,385,356,10,36,395,392,6.79074074074074,149,0
395,198,1,385,356,10,36,395,392,6.79074074074074,149,0
396,199,1,385,356,10,36,395,392,7.127777777777778,144,0
397,199,1,385,356,10,36,395,392,7.127777777777778,144,0
398,200,1,385,356,10,36,395,392,10.407407407407407,105,0
399,200,1,385,356,10,36,395,392,10.407407407407407,105,0
400,201,1,385,356,10,36,395,392,3.3740740740740742,60,0
401,201,1,385,356,10,36,395,392,3.3740740740740742,60,0
402,202,1,385,356,10,36,395,392,8.031481481481482,247,0
403,202,1,385,356,10,36,395,392,8.031481481481482,247,0
404,203,1,385,356,10,36,395,392,5.979629629629629,255,0
405,203,1,385,356,10,36,395,392,5.979629629629629,255,0
406,204,1,385,356,10,36,395,392,4.4,64,0
407,204,1,385,356,10,36,395,392,4.4,64,0
408,205,1,385,356,10,36,395,392,4.05462962962963,38,0
409,205,1,385,356,10,36,395,392,4.05462962962963,38,0
410,206,1,385,356,10,36,395,392,8.424074074074074,183,0
411,206,1,385,356,10,36,395,392,8.424074074074074,183,0
412,207,1,385,356,10,36,395,392,9.77962962962963,163,0
